			 ******Tabla de Simbolos******

***El tipo de variable lo determina el caracter que precede a esta última:
	 _(variable);$(cte float);&(cte int);@(cte string)***
****************************************************************************

Posicion		 Nombre 		 Tipo		 Longitud		 Valor		 Valor String

4222163			 _arbol			 1			 0		 72057589759672320		 -

4222163			 _b			 1			 0		 72057589759672320		 -

4222163			 _casa			 1			 0		 72057589759672320		 -

4222163			 _d			 1			 0		 72057589759672320		 -

4222163			 _e			 1			 0		 72057589759672320		 -

4222163			 _g			 1			 0		 72057589759672320		 -

4222163			 _a_			 1			 0		 72057589759672320		 -

4222163			 _v4r14bl3			 1			 0		 72057589759672320		 -

4222163			 _a19			 1			 0		 72057589759672320		 -

4222163			 &3			 2			 0		 -65536		 -

4222163			 &2			 2			 0		 -65536		 -

4222163			 &6			 2			 0		 -65536		 -

4222163			 &5			 2			 0		 -65536		 -

4222163			 &1			 2			 0		 -65536		 -

4222163			 @hola			 4			 4		 0		 hola

4222163			 _r			 1			 0		 72057589759672320		 -

4222163			 @hola_cadena			 4			 11		 0		 hola cadena

4222163			 &4			 2			 0		 -65536		 -

4222163			 _c			 1			 0		 72057589759672320		 -

4222163			 &24			 2			 0		 -65536		 -

4222163			 $235.5572345345			 3			 0		 235.5572345345		 -

4222163			 _f			 1			 0		 72057589759672320		 -

4222163			 &25			 2			 0		 -65536		 -

4222163			 $5.4			 3			 0		 5.4000000000		 -

4222163			 _mat1			 1			 0		 72057589759672320		 -

4222163			 @lenguajes			 4			 9		 0		 lenguajes

4222163			 _mat2			 1			 0		 72057589759672320		 -

4222163			 @compiladores			 4			 12		 0		 compiladores

4222163			 _a			 1			 0		 72057589759672320		 -

4222163			 @aca			 4			 3		 0		 aca

4222163			 @ahi			 4			 3		 0		 ahi

4222163			 @mundo			 4			 5		 0		 mundo

4222163			 _i			 1			 0		 72057589759672320		 -

4222163			 &0			 2			 0		 -65536		 -

4222163			 _numero			 1			 0		 72057589759672320		 -

4222163			 _numero2			 1			 0		 72057589759672320		 -

4222163			 _avg			 1			 0		 72057589759672320		 -

4222163			 &11			 2			 0		 -65536		 -

4222163			 @Repetir_3_veces			 4			 15		 0		 Repetir 3 veces

4222163			 &666			 2			 0		 -65536		 -

4222163			 &34			 2			 0		 -65536		 -

